name,surname,email,phone,address
Dante,Norman,luctus@protonmail.com,(713) 261-9872,Ap #629-5897 Nec Avenue
Shoshana,Hunter,convallis.dolor.quisque@outlook.net,1-547-572-5535,"Ap #990-2313 Sem, Road"
Deacon,Francis,cursus@hotmail.net,(337) 114-6482,"Ap #206-4266 Aliquam, Rd."
Yoshio,Beard,malesuada@hotmail.org,(761) 957-5623,101-7409 Eu Road
Joshua,Davenport,dapibus.quam@outlook.couk,1-863-456-3028,Ap #455-7136 Amet Ave
Candice,Buckley,arcu.et@hotmail.org,(897) 287-5670,235 Mattis. St.
Ruby,Goff,sed.dolor@protonmail.org,(774) 540-1393,Ap #302-4499 Sem Road
Grace,Haney,condimentum.eget@protonmail.ca,(541) 123-7345,Ap #186-5524 At St.
Nita,Fischer,morbi.sit@icloud.net,(548) 986-8967,Ap #451-2464 Amet Street
Felix,Horne,elit@yahoo.ca,1-275-322-4286,Ap #652-1073 Dictum Road
